CNT,STIDSTD,BirthYear,Gender,Repeat01,Repeat02,Repeat03,LateForSchool,SkipWholeDay,SkipClasses
China-Shanghai,00278,1996,Male,never,never,never,None,None,None
China-Shanghai,00279,1996,Female,never,never,never,None,None,None
China-Shanghai,00280,1996,Male,never,never,never,None,None,None
China-Shanghai,00281,1996,Female,never,never,never,None,None,None
China-Shanghai,00282,1996,Female,never,never,never,None,None,None
China-Shanghai,00283,1996,Female,never,never,never,None,None,None
China-Shanghai,00284,1996,Female,never,never,never,None,None,None
China-Shanghai,00285,1996,Female,never,never,never,None,None,None
China-Shanghai,00286,1996,Male,never,never,never,None,None,None
China-Shanghai,00287,1996,Female,never,never,never,None,None,None
China-Shanghai,00288,1996,Male,never,never,never,None,None,None
China-Shanghai,00289,1996,Female,never,never,never,None,None,None
China-Shanghai,00290,1996,Female,never,never,never,None,None,None
China-Shanghai,00291,1996,Female,never,never,never,None,None,None
China-Shanghai,00292,1996,Female,never,never,never,None,None,None
China-Shanghai,00293,1996,Male,never,never,never,None,None,None
China-Shanghai,00294,1996,Female,never,never,never,None,None,None
China-Shanghai,00295,1996,Female,never,never,never,None,None,None
China-Shanghai,00296,1996,Female,never,never,never,None,None,None
China-Shanghai,00297,1996,Male,never,never,never,None,None,None
China-Shanghai,00298,1996,Female,never,never,never,Oneortwotimes,None,None
China-Shanghai,00299,1996,Female,never,never,never,None,None,None
China-Shanghai,00300,1996,Female,never,never,never,None,None,None
China-Shanghai,00301,1996,Female,never,never,never,None,None,None
China-Shanghai,00302,1996,Female,never,never,never,None,None,None
China-Shanghai,00303,1996,Male,never,never,never,None,None,None
China-Shanghai,00304,1996,Female,never,never,never,None,None,None
China-Shanghai,00305,1996,Female,never,never,never,None,None,None
China-Shanghai,00306,1996,Female,never,never,never,Oneortwotimes,None,None
China-Shanghai,00307,1996,Female,never,never,never,None,None,None
China-Shanghai,00308,1996,Male,never,never,never,Oneortwotimes,None,None
China-Shanghai,00309,1996,Male,never,never,never,Oneortwotimes,None,Fiveormoretimes
China-Shanghai,00310,1996,Female,never,never,never,None,None,None
China-Shanghai,00311,1996,Female,never,never,never,Oneortwotimes,None,None
China-Shanghai,00312,1996,Female,never,never,never,None,None,None
China-Shanghai,00313,1996,Female,never,never,never,None,None,None
China-Shanghai,00314,1996,Female,never,never,never,None,None,None
China-Shanghai,00315,1996,Female,never,never,never,None,None,None
China-Shanghai,00316,1996,Female,never,never,never,None,None,None
China-Shanghai,00317,1996,Female,never,never,NA,None,None,None
China-Shanghai,00318,1996,Male,never,never,never,None,None,None
China-Shanghai,00319,1996,Male,never,never,never,None,None,None
China-Shanghai,00320,1996,Female,never,never,never,None,None,None
China-Shanghai,00321,1996,Female,never,never,never,None,None,None
China-Shanghai,00322,1996,Female,never,never,never,Fiveormoretimes,None,None
China-Shanghai,00323,1996,Female,never,never,never,Oneortwotimes,None,None
China-Shanghai,00324,1996,Male,never,never,never,None,None,None
China-Shanghai,00325,1996,Male,never,never,never,None,None,None
China-Shanghai,00326,1996,Female,never,never,NA,None,None,None
China-Shanghai,00327,1996,Male,never,never,never,None,None,None
China-Shanghai,00328,1996,Female,NA,NA,NA,NA,NA,NA
China-Shanghai,00329,1996,Female,never,never,never,Oneortwotimes,None,Oneortwotimes
China-Shanghai,00330,1996,Female,never,never,never,Oneortwotimes,None,None
China-Shanghai,00331,1996,Female,never,never,never,None,None,None
China-Shanghai,00332,1996,Female,never,never,never,None,None,None
China-Shanghai,00333,1996,Female,never,never,never,None,None,None
China-Shanghai,00334,1996,Male,never,never,never,None,None,None
China-Shanghai,00335,1996,Female,never,never,never,None,None,None
China-Shanghai,00336,1996,Female,never,never,never,Oneortwotimes,None,None
China-Shanghai,00337,1996,Male,never,never,never,None,None,None
China-Shanghai,00338,1996,Female,never,never,never,None,None,None
China-Shanghai,00339,1996,Female,never,never,never,None,None,Oneortwotimes
China-Shanghai,00340,1996,Female,never,never,never,None,None,None
China-Shanghai,00341,1996,Female,never,never,never,None,None,None
China-Shanghai,00342,1996,Female,never,never,never,Oneortwotimes,None,None
China-Shanghai,00343,1996,Male,never,never,never,Oneortwotimes,None,None
China-Shanghai,00344,1996,Male,never,never,never,Oneortwotimes,None,None
China-Shanghai,00345,1996,Male,never,never,never,Fiveormoretimes,None,None
China-Shanghai,00346,1996,Female,never,never,never,None,None,None
China-Shanghai,00347,1996,Male,never,never,never,Oneortwotimes,None,None
China-Shanghai,00348,1996,Male,never,never,never,None,None,None
China-Shanghai,00349,1996,Male,never,never,never,None,None,None
China-Shanghai,00350,1996,Male,never,never,never,None,None,None
China-Shanghai,00351,1996,Female,never,never,never,None,None,None
China-Shanghai,00352,1996,Female,never,never,never,None,None,None
China-Shanghai,00353,1996,Female,never,never,never,None,None,None
China-Shanghai,00354,1996,Female,never,never,never,None,None,None
China-Shanghai,00355,1996,Male,never,never,never,None,None,None
China-Shanghai,00356,1996,Female,never,never,never,Oneortwotimes,None,None
China-Shanghai,00357,1996,Male,never,never,never,Threeorfourtimes,None,Oneortwotimes
China-Shanghai,00358,1996,Male,never,NA,NA,None,None,None
China-Shanghai,00359,1996,Male,never,never,never,None,None,None
China-Shanghai,00360,1996,Male,never,never,never,Oneortwotimes,None,Oneortwotimes
China-Shanghai,00361,1996,Female,never,never,never,None,None,None
China-Shanghai,00362,1996,Male,never,never,never,None,None,None
China-Shanghai,00363,1996,Female,never,never,never,None,None,None
China-Shanghai,00364,1996,Male,never,never,never,None,None,None
China-Shanghai,00365,1996,Male,never,never,never,None,None,None
China-Shanghai,00366,1996,Male,never,never,never,None,None,None
China-Shanghai,00367,1996,Male,never,never,never,None,None,None
China-Shanghai,00368,1996,Male,never,never,never,None,None,None
China-Shanghai,00369,1996,Female,never,never,never,None,None,None
China-Shanghai,00370,1996,Male,never,never,never,None,None,None
China-Shanghai,00371,1996,Male,never,never,never,None,None,None
China-Shanghai,00372,1996,Male,never,never,never,None,None,None
China-Shanghai,00373,1996,Female,never,never,never,None,None,None
China-Shanghai,00374,1996,Female,never,never,never,None,None,None
China-Shanghai,00375,1996,Male,never,never,never,None,None,None
China-Shanghai,00376,1996,Female,never,never,never,None,None,None
China-Shanghai,00377,1996,Male,NA,once,NA,None,None,Oneortwotimes
China-Shanghai,00378,1996,Male,once,never,never,None,None,None
China-Shanghai,00379,1996,Male,never,never,never,Oneortwotimes,None,None
China-Shanghai,00380,1996,Male,never,never,NA,None,None,None
China-Shanghai,00381,1996,Male,never,never,NA,None,None,None
China-Shanghai,00382,1996,Female,never,never,NA,None,None,None
China-Shanghai,00383,1996,Female,never,never,never,None,None,None
China-Shanghai,00384,1996,Female,never,never,NA,None,None,None
China-Shanghai,00385,1996,Female,once,NA,NA,None,None,None
China-Shanghai,00386,1996,Male,never,never,never,None,None,None
China-Shanghai,00387,1996,Female,never,never,never,None,None,None
China-Shanghai,00388,1996,Male,never,once,never,Oneortwotimes,None,None
China-Shanghai,00389,1996,Male,once,never,NA,Oneortwotimes,None,None
China-Shanghai,00390,1996,Female,once,never,never,None,None,None
China-Shanghai,00391,1996,Female,never,never,NA,None,None,None
China-Shanghai,00392,1996,Male,never,never,never,Oneortwotimes,None,None
China-Shanghai,00393,1996,Male,twiceormore,NA,NA,Oneortwotimes,None,None
China-Shanghai,00394,1996,Female,never,never,never,None,None,None
China-Shanghai,00395,1996,Male,never,never,NA,None,None,None
China-Shanghai,00396,1996,Male,once,NA,NA,Oneortwotimes,None,None
China-Shanghai,00397,1996,Male,never,never,NA,None,None,None
China-Shanghai,00398,1996,Male,never,twiceormore,NA,None,None,None
China-Shanghai,00399,1996,Female,NA,once,NA,None,None,None
China-Shanghai,00400,1996,Female,NA,once,NA,Oneortwotimes,None,None
China-Shanghai,00401,1996,Male,never,never,never,None,None,None
China-Shanghai,00402,1996,Male,never,once,never,None,None,None
China-Shanghai,00403,1996,Male,NA,once,NA,None,None,None
China-Shanghai,00404,1996,Male,once,never,never,None,None,None
China-Shanghai,00405,1996,Male,never,never,never,None,None,Oneortwotimes
China-Shanghai,00406,1996,Female,once,NA,NA,None,None,None
China-Shanghai,00407,1996,Male,never,never,never,None,None,None
China-Shanghai,00408,1996,Male,never,never,NA,None,None,None
China-Shanghai,00409,1996,Male,never,never,never,None,None,None
China-Shanghai,00410,1996,Female,never,never,never,None,None,None
China-Shanghai,00411,1996,Male,never,never,never,None,None,None
China-Shanghai,00412,1996,Female,never,never,never,None,None,None
China-Shanghai,00413,1996,Male,never,never,never,None,None,None
China-Shanghai,00414,1996,Female,never,never,never,None,None,None
China-Shanghai,00415,1996,Female,never,never,never,Oneortwotimes,None,None
China-Shanghai,00416,1996,Male,never,never,never,None,None,None
China-Shanghai,00417,1996,Female,never,never,never,None,None,None
China-Shanghai,00418,1996,Female,never,never,never,None,None,None
China-Shanghai,00419,1996,Male,never,never,never,None,None,None
China-Shanghai,00420,1996,Male,never,never,never,None,None,None
China-Shanghai,00421,1996,Male,never,never,never,None,None,None
China-Shanghai,00422,1996,Male,never,never,never,None,None,None
China-Shanghai,00423,1996,Female,never,never,never,None,None,None
China-Shanghai,00424,1996,Male,never,never,never,None,None,None
China-Shanghai,00425,1996,Female,never,never,never,None,None,None
China-Shanghai,00426,1996,Female,never,never,never,None,None,None
China-Shanghai,00427,1996,Male,never,never,never,None,None,None
China-Shanghai,00428,1996,Female,never,never,never,None,None,None
China-Shanghai,00429,1996,Male,never,never,never,Oneortwotimes,None,None
China-Shanghai,00430,1996,Male,never,never,never,None,None,None
China-Shanghai,00431,1996,Female,never,never,never,None,None,None
China-Shanghai,00432,1996,Female,never,never,never,None,None,None
China-Shanghai,00433,1996,Female,never,never,never,None,None,None
China-Shanghai,00434,1996,Male,never,never,never,None,None,None
China-Shanghai,00435,1996,Female,never,never,never,None,None,None
China-Shanghai,00436,1996,Female,never,never,never,None,None,None
China-Shanghai,00437,1996,Female,never,never,never,None,None,None
China-Shanghai,00438,1996,Female,never,never,never,None,None,None
China-Shanghai,00439,1996,Female,never,never,never,None,None,None
China-Shanghai,00440,1996,Female,never,never,never,None,None,None
China-Shanghai,00441,1996,Female,never,never,never,None,None,None
China-Shanghai,00442,1996,Female,never,never,never,None,None,None
China-Shanghai,00443,1996,Female,never,never,never,None,None,None
China-Shanghai,00444,1996,Female,never,never,never,None,None,None
China-Shanghai,00445,1996,Female,never,never,NA,None,None,None
China-Shanghai,00446,1996,Male,never,never,NA,Oneortwotimes,None,Oneortwotimes
China-Shanghai,00447,1996,Male,never,never,NA,Oneortwotimes,None,None
China-Shanghai,00448,1996,Female,never,never,NA,None,None,None
China-Shanghai,00449,1996,Female,never,never,NA,None,None,None
