CNT,STIDSTD,BirthYear,Gender,Repeat01,Repeat02,Repeat03,LateForSchool,SkipWholeDay,SkipClasses
Israel,00881,1996,Female,never,never,never,None,Oneortwotimes,None
Israel,00882,1996,Male,never,never,never,Oneortwotimes,None,None
Israel,00883,1996,Male,never,never,never,Threeorfourtimes,None,Threeorfourtimes
Israel,00884,1996,Male,never,never,never,Oneortwotimes,None,None
Israel,00885,1996,Female,never,never,never,Oneortwotimes,Oneortwotimes,None
Israel,00886,1996,Male,never,never,never,Oneortwotimes,None,None
Israel,00887,1996,Female,never,never,NA,Oneortwotimes,None,None
Israel,00888,1996,Female,never,never,never,Oneortwotimes,Oneortwotimes,Oneortwotimes
Israel,00889,1996,Female,never,never,never,None,None,None
Israel,00890,1996,Female,never,never,never,Oneortwotimes,None,None
Israel,00891,1996,Female,never,never,never,Oneortwotimes,None,None
Israel,00892,1996,Female,never,never,NA,None,None,None
Israel,00893,1996,Male,never,never,never,None,None,None
Israel,00894,1996,Male,never,never,never,None,Oneortwotimes,None
Israel,00895,1996,Male,never,never,never,None,None,None
Israel,00896,1996,Female,never,never,never,Threeorfourtimes,Oneortwotimes,Oneortwotimes
Israel,00897,1996,Female,never,never,never,None,None,None
Israel,00898,1996,Male,never,never,never,None,Oneortwotimes,None
Israel,00899,1996,Male,never,never,never,Threeorfourtimes,None,Threeorfourtimes
Israel,00900,1996,Male,never,never,never,None,None,None
Israel,00901,1996,Male,never,never,never,Oneortwotimes,None,None
Israel,00902,1996,Male,never,never,never,None,None,Oneortwotimes
Israel,00903,1996,Male,never,never,never,None,None,None
Israel,00904,1996,Male,never,never,never,None,None,None
Israel,00905,1996,Male,never,never,never,None,None,None
Israel,00906,1996,Male,never,never,never,None,None,None
Israel,00907,1996,Male,never,never,never,None,None,None
Israel,00908,1996,Male,never,never,never,None,Fiveormoretimes,Fiveormoretimes
Israel,00909,1996,Male,never,never,never,Threeorfourtimes,None,None
Israel,00910,1996,Male,never,never,never,None,None,None
Israel,00911,1996,Male,never,never,never,Oneortwotimes,None,None
Israel,00912,1996,Male,never,never,never,Fiveormoretimes,Fiveormoretimes,Fiveormoretimes
Israel,00913,1996,Male,never,never,never,None,Oneortwotimes,None
Israel,00914,1996,Male,once,NA,NA,Oneortwotimes,Oneortwotimes,Oneortwotimes
Israel,00915,1996,Male,never,never,never,None,None,None
Israel,00916,1996,Male,never,never,never,None,None,None
Israel,00917,1996,Male,never,never,never,None,None,None
Israel,00918,1996,Male,never,never,never,Threeorfourtimes,None,None
Israel,00919,1996,Male,never,never,never,None,None,None
Israel,00920,1996,Male,once,NA,NA,None,None,None
Israel,00921,1996,Male,never,never,never,Oneortwotimes,None,None
Israel,00922,1996,Male,never,never,never,None,None,None
Israel,00923,1996,Male,NA,once,NA,None,None,Oneortwotimes
Israel,00924,1996,Male,never,never,never,None,None,Fiveormoretimes
Israel,00925,1996,Male,never,never,NA,Oneortwotimes,Oneortwotimes,None
Israel,00926,1996,Male,NA,NA,NA,Fiveormoretimes,None,Oneortwotimes
Israel,00927,1996,Male,NA,NA,NA,Oneortwotimes,Threeorfourtimes,None
Israel,00928,1996,Male,never,never,never,None,None,None
Israel,00929,1996,Male,NA,NA,NA,None,Fiveormoretimes,Fiveormoretimes
Israel,00930,1996,Male,never,never,never,Fiveormoretimes,Fiveormoretimes,Fiveormoretimes
Israel,00931,1996,Male,never,never,never,Oneortwotimes,Oneortwotimes,None
Israel,00932,1996,Male,never,never,never,Fiveormoretimes,Fiveormoretimes,Fiveormoretimes
Israel,00933,1996,Male,never,never,never,None,Oneortwotimes,None
Israel,00934,1996,Male,never,never,never,Threeorfourtimes,None,Oneortwotimes
Israel,00935,1996,Male,NA,NA,NA,NA,NA,NA
Israel,00936,1996,Female,never,never,never,Threeorfourtimes,None,None
Israel,00937,1996,Male,never,never,never,Oneortwotimes,Oneortwotimes,None
Israel,00938,1996,Female,never,never,never,Oneortwotimes,Threeorfourtimes,Threeorfourtimes
Israel,00939,1996,Female,never,never,never,Oneortwotimes,Oneortwotimes,Oneortwotimes
Israel,00940,1996,Male,never,never,NA,None,None,None
Israel,00941,1996,Female,never,never,never,Oneortwotimes,Threeorfourtimes,Oneortwotimes
Israel,00942,1996,Male,never,never,never,Oneortwotimes,None,None
Israel,00943,1996,Male,never,never,never,None,None,None
Israel,00944,1996,Female,never,never,never,None,None,None
Israel,00945,1996,Female,never,never,never,Oneortwotimes,None,None
Israel,00946,1996,Male,never,never,never,Oneortwotimes,None,Oneortwotimes
Israel,00947,1996,Female,never,never,never,Fiveormoretimes,Oneortwotimes,Threeorfourtimes
Israel,00948,1996,Female,never,never,never,Oneortwotimes,None,None
Israel,00949,1996,Male,never,never,never,None,None,None
Israel,00950,1996,Male,never,never,never,Oneortwotimes,Oneortwotimes,None
Israel,00951,1996,Male,once,never,never,Fiveormoretimes,Threeorfourtimes,Fiveormoretimes
Israel,00952,1996,Female,never,never,never,Oneortwotimes,Oneortwotimes,None
Israel,00953,1996,Male,never,never,never,None,None,None
Israel,00954,1996,Female,never,never,never,None,None,Oneortwotimes
Israel,00955,1996,Female,never,never,never,None,Oneortwotimes,None
Israel,00956,1996,Male,never,NA,NA,None,Oneortwotimes,Oneortwotimes
Israel,00957,1996,Male,never,never,never,None,Oneortwotimes,None
Israel,00958,1996,Female,never,never,never,Oneortwotimes,None,None
Israel,00959,1996,Female,never,never,never,Threeorfourtimes,None,None
Israel,00960,1996,Male,never,never,never,Oneortwotimes,Oneortwotimes,Threeorfourtimes
Israel,00961,1996,Female,never,never,never,Threeorfourtimes,None,None
Israel,00962,1996,Male,never,never,never,Threeorfourtimes,None,Oneortwotimes
Israel,00963,1996,Male,never,never,never,Oneortwotimes,Oneortwotimes,Oneortwotimes
Israel,00964,1996,Female,never,never,never,Fiveormoretimes,Threeorfourtimes,Fiveormoretimes
Israel,00965,1996,Female,never,never,never,Oneortwotimes,None,Oneortwotimes
Israel,00966,1996,Female,never,never,NA,Threeorfourtimes,None,None
Israel,00967,1996,Female,never,NA,NA,None,Oneortwotimes,None
Israel,00968,1996,Female,never,never,never,Fiveormoretimes,None,None
Israel,00969,1996,Female,never,never,NA,None,None,None
Israel,00970,1996,Female,never,never,never,Oneortwotimes,None,None
Israel,00971,1996,Female,never,never,never,None,Oneortwotimes,None
Israel,00972,1996,Female,never,never,never,Oneortwotimes,None,None
Israel,00973,1996,Female,never,never,NA,Oneortwotimes,None,None
Israel,00974,1996,Female,never,never,never,Oneortwotimes,None,None
Israel,00975,1996,Female,never,never,never,None,None,None
Israel,00976,1996,Female,never,never,NA,Oneortwotimes,None,Oneortwotimes
Israel,00977,1996,Female,NA,NA,NA,Threeorfourtimes,Oneortwotimes,Oneortwotimes
Israel,00978,1996,Female,never,never,never,Oneortwotimes,None,Oneortwotimes
Israel,00979,1996,Female,never,never,NA,None,None,None
Israel,00980,1996,Female,never,never,never,None,None,None
Israel,00981,1996,Female,never,never,never,Oneortwotimes,Oneortwotimes,None
Israel,00982,1996,Female,never,never,never,Oneortwotimes,Oneortwotimes,None
Israel,00983,1996,Female,never,never,NA,Oneortwotimes,None,None
Israel,00984,1996,Female,never,never,never,None,None,None
Israel,00985,1996,Female,never,never,never,Threeorfourtimes,None,None
Israel,00986,1996,Female,never,never,NA,None,None,None
Israel,00987,1996,Female,NA,NA,NA,None,None,Oneortwotimes
Israel,00988,1996,Female,never,never,never,Oneortwotimes,Threeorfourtimes,None
Israel,00989,1996,Female,once,NA,NA,None,Oneortwotimes,None
Israel,00990,1996,Female,never,never,never,Oneortwotimes,None,None
Israel,00991,1996,Female,NA,NA,NA,Oneortwotimes,Oneortwotimes,None
Israel,00992,1996,Female,never,never,never,Oneortwotimes,None,Oneortwotimes
Israel,00993,1996,Male,never,never,never,None,Oneortwotimes,None
Israel,00994,1996,Female,never,never,never,None,None,None
Israel,00995,1996,Male,never,never,never,Oneortwotimes,None,None
Israel,00996,1996,Male,never,never,never,Threeorfourtimes,Oneortwotimes,Threeorfourtimes
Israel,00997,1996,Female,never,never,NA,Oneortwotimes,Oneortwotimes,None
Israel,00998,1996,Male,never,never,never,None,None,None
Israel,00999,1996,Female,never,never,never,Oneortwotimes,None,None
Israel,01000,1996,Female,never,never,never,None,None,None
Israel,01001,1996,Female,never,never,never,Oneortwotimes,Oneortwotimes,None
Israel,01002,1996,Male,never,never,never,Fiveormoretimes,Threeorfourtimes,None
Israel,01003,1996,Female,never,never,never,Oneortwotimes,None,None
Israel,01004,1996,Female,never,never,never,None,Oneortwotimes,None
Israel,01005,1996,Female,never,never,never,None,None,None
Israel,01006,1996,Female,never,never,never,Oneortwotimes,None,None
Israel,01007,1996,Female,never,never,never,None,Oneortwotimes,None
Israel,01008,1996,Male,never,never,never,Oneortwotimes,None,None
Israel,01009,1996,Male,never,never,never,None,Oneortwotimes,None
Israel,01010,1996,Female,never,never,never,None,None,None
Israel,01011,1996,Female,never,never,never,None,None,None
Israel,01012,1996,Female,never,never,NA,Oneortwotimes,None,None
Israel,01013,1996,Male,never,never,never,Oneortwotimes,None,None
Israel,01014,1996,Male,never,never,never,None,None,None
Israel,01015,1996,Male,never,never,never,Oneortwotimes,Oneortwotimes,None
Israel,01016,1996,Male,never,never,never,None,None,None
Israel,01017,1996,Male,never,never,never,Oneortwotimes,None,None
Israel,01018,1996,Male,never,never,never,Fiveormoretimes,Oneortwotimes,None
Israel,01019,1996,Male,never,never,never,Oneortwotimes,Threeorfourtimes,None
Israel,01020,1996,Male,never,never,never,Oneortwotimes,None,None
Israel,01021,1996,Male,never,never,never,Oneortwotimes,Fiveormoretimes,Oneortwotimes
Israel,01022,1996,Female,never,never,never,None,None,None
Israel,01023,1996,Male,never,never,NA,None,None,None
Israel,01024,1996,Male,never,never,never,None,None,None
Israel,01025,1996,Male,never,never,never,None,None,None
Israel,01026,1996,Female,never,never,never,None,None,None
Israel,01027,1996,Female,never,never,never,None,Oneortwotimes,None
Israel,01028,1996,Female,never,never,never,Oneortwotimes,None,None
Israel,01029,1996,Female,never,never,NA,None,None,None
Israel,01030,1996,Female,never,never,never,None,None,None
Israel,01031,1996,Male,never,never,never,Oneortwotimes,Oneortwotimes,Threeorfourtimes
Israel,01032,1996,Male,never,never,never,Oneortwotimes,None,None
Israel,01033,1996,Female,never,NA,NA,None,Threeorfourtimes,Oneortwotimes
Israel,01034,1996,Male,never,never,never,Threeorfourtimes,Oneortwotimes,Oneortwotimes
Israel,01035,1996,Male,NA,NA,NA,None,None,None
Israel,01036,1996,Male,never,never,never,None,None,None
Israel,01037,1996,Male,never,never,never,None,None,None
Israel,01038,1996,Male,never,never,never,None,None,None
Israel,01039,1996,Female,never,never,never,Oneortwotimes,None,None
Israel,01040,1996,Female,never,never,never,Fiveormoretimes,Oneortwotimes,Oneortwotimes
Israel,01041,1996,Male,never,never,never,Fiveormoretimes,None,None
Israel,01042,1996,Female,never,never,never,Oneortwotimes,None,None
Israel,01043,1996,Female,never,never,never,Oneortwotimes,None,None
Israel,01044,1996,Female,once,never,never,None,None,None
Israel,01045,1996,Male,never,never,never,None,None,None
Israel,01046,1996,Male,never,never,never,Oneortwotimes,None,None
Israel,01047,1996,Male,never,never,never,None,None,None
Israel,01048,1996,Female,never,never,never,Oneortwotimes,Oneortwotimes,None
Israel,01049,1996,Male,never,never,NA,Oneortwotimes,None,None
Israel,01050,1996,Male,never,never,never,Fiveormoretimes,None,Oneortwotimes
Israel,01051,1996,Male,never,never,never,None,None,None
Israel,01052,1996,Female,once,NA,NA,Oneortwotimes,Oneortwotimes,Oneortwotimes
Israel,01053,1996,Female,never,never,never,Threeorfourtimes,Fiveormoretimes,None
Israel,01054,1996,Female,never,never,never,Fiveormoretimes,Oneortwotimes,None
Israel,01055,1996,Male,never,never,never,None,None,Oneortwotimes
Israel,01056,1996,Female,never,never,never,Threeorfourtimes,None,Oneortwotimes
Israel,01057,1996,Female,never,never,never,None,Oneortwotimes,None
Israel,01058,1996,Male,never,never,never,Oneortwotimes,None,None
Israel,01059,1996,Female,never,never,never,Oneortwotimes,Oneortwotimes,Oneortwotimes
Israel,01060,1996,Female,never,never,never,None,None,Oneortwotimes
Israel,01061,1996,Male,never,never,never,Threeorfourtimes,None,Oneortwotimes
Israel,01062,1996,Male,never,never,never,Threeorfourtimes,None,None
Israel,01063,1996,Male,never,never,never,Oneortwotimes,Oneortwotimes,None
Israel,01064,1996,Female,never,never,never,Oneortwotimes,None,None
Israel,01065,1996,Male,never,never,never,None,None,None
Israel,01066,1996,Male,never,never,never,None,None,None
Israel,01067,1996,Female,never,never,never,Threeorfourtimes,None,None
Israel,01068,1996,Female,never,never,never,Oneortwotimes,None,None
Israel,01069,1996,Female,never,never,never,None,None,None
Israel,01070,1996,Female,never,never,never,None,None,Fiveormoretimes
Israel,01071,1996,Male,never,never,never,Oneortwotimes,Oneortwotimes,Oneortwotimes
Israel,01072,1996,Female,never,never,never,None,None,None
Israel,01073,1996,Female,never,never,never,None,None,None
